中文名,英文名,分子式,分子量,CAS号,危规号,性状,溶解性,熔点（℃）,沸点（℃）,相对密度（水＝1）,临界温度（℃）,临界压力（MPa）,相对密度（空气＝1）,燃烧热（KJ/mol）,最小点火能（mJ）,饱和蒸汽压（KPa）,燃烧性,燃烧分解产物,闪点（℃）,聚合危害,爆炸下限（％）,爆炸上限（％）,稳定性,最大爆炸压力（MPa）,引燃温度（℃）,禁忌物,危险特性,消防措施,灭火方法,接触限值,毒理资料,侵入途径,健康危害,皮肤接触,眼睛接触,吸入,食入,工程防护,呼吸系统防护,身体防护,手防护,其他防护,泄漏处理,包装标志,UN编号,包装分类,包装方法,储运条件,饱和蒸汽压（kPa）,饱和蒸汽压（UPa）
乙炔,acetylene,C2H2,26.04,74－86－2,21024,无色无臭气体，工业品有使人不愉快的大蒜气味,微溶于水、乙醇，溶于丙酮、氯仿、苯,－81.8,－83.8,0.62,35.2,6.14,0.91,1298.4,0.02,4053,易燃,一氧化碳、二氧化碳,无意义,聚合,2.1,80.0,稳定,0.720,305,强氧化剂、强酸、卤素,极易燃烧爆炸。与空气混合能形成爆炸性混合物，遇明火、高热能引起燃烧爆炸。与氧化剂接触会猛烈反应。与氟、氯等接触会发生剧烈的化学反应。能与铜、银、汞等的化合物生成爆炸性物质。,切断气源。若不能立即切断气源，则不允许熄灭正在燃烧的气体。喷水冷却容器，可能的话将容器从火场移至空旷处。灭火剂：雾状水、泡沫、二氧化碳、干粉。,,中国MAC（mg/m3）未制定标准  美国 TVL-TWA ACGIH  窒息性气体。,动物长期吸入非致死性浓度本品，出现血红蛋白、网织细胞、淋巴细胞增加和中性粒细胞减少。尸检有支气管炎、肺炎、肺水肿、肺充血和脂肪浸润。,吸入。,具有弱麻醉作用。高浓度吸入可引起单纯窒息。急性中毒：暴露于20％浓度时，出现明显缺氧症状；吸入高浓度，初期兴奋、多语、哭笑不安，后出现眩晕、头痛、恶心、呕吐、共济失调、嗜睡；严重者昏迷、紫绀、瞳孔对光反应消失、脉弱而不齐。当混有磷化氢、硫化氢时，毒性增大，应予注意。,,,迅速脱离现场至空气新鲜处。保持呼吸道通畅。如呼吸困然，给输氧。如呼吸停止，立即进行人工呼吸。就医。,,生产过程密闭，全面通风。,一般不需要特殊防护，但建议特殊情况下，佩戴自吸过滤式防毒面具。,,戴一般作业防护手套。,工作现场严禁吸烟。避免长期反复接触。进入罐、限制性空间或其他高浓度区作业，须有人监护。,迅速撤离泄漏污染区人员至上风处，并进行隔离，严格限制出入。切断火源。建议应急处理人员戴自给正压式呼吸器，穿消防防护服。尽可能切断泄漏源。合理通风，加速扩散。喷雾状水稀释、溶解。构筑围堤或挖坑收容产生的大量废水。如有可能，将漏出气用排风机送至空旷地方或装设适当喷头烧掉。漏气容器要妥善处理，修复、检验后再用。,4,1001,,钢质气瓶,乙炔的包装法通常是溶解在溶剂及多孔物中，装入钢瓶内。充装要控制流速，注意防止静电积聚。储存于阴凉、通风仓间内。仓间温度不宜超过30℃。远离火种、热源，防止阳光直射。应与氧气、压缩气体、卤素（氟、氯、溴）、氧化剂等分开存放。储存间内的照明、通风等设施应采用防爆型，开关设在仓外。配备相应品种和数量的消防器材。禁止使用易产生火花的机械设备和工具。验收时要注意品名，注意验瓶日期，先进仓的先发用。搬运时轻装轻卸，防止钢瓶及附件破损。,,
氧、氧气,oxygen,O2,32.00,7782－44－7,22001,无色无臭气体,溶于水、乙醇,－218.8,－183.1,1.14（－183℃）,－118.4,5.08,1.43,无意义,,506.62（－164℃）,助燃,,无意义,不聚合,,,稳定,,无意义,易燃或可燃物，活性金属粉末、乙炔,是易燃物、可燃物燃烧爆炸的基本要素之一，能氧化大多数活性物质。与易燃物（如乙炔、甲烷等）形成有爆炸性的混合物。,用水保持容器冷却，以防受热爆炸，急剧助长火势，迅速切断气源。用水喷淋保护切断气源的人员，然后根据着火原因选择适当灭火剂灭火。,,,,吸入。,常压下，当氧的浓度超过40％时，有可能发生中毒。吸入40％～60％的氧时，出现胸骨后不适感、轻咳，进而胸闷、胸骨后烧灼感和呼吸困难，咳嗽加剧；严重时可发生肺水肿，甚至出现呼吸窘迫综合症。吸入氧浓度在80％以上时，出现面部肌肉抽动、面色苍白、眩晕、心动过速、虚脱，继而全身强直性抽搐、昏迷、呼吸衰竭而死亡。长期处于氧分压为60～100kPa（相对于吸入氧浓度40％左右）的条件下可发生眼损害，严重者可失明。,,,迅速脱离现场至空气新鲜处。保持呼吸道通畅。如呼吸困然，给输氧。如呼吸停止，立即进行人工呼吸。就医。,,密闭操作。提供良好的自然通风条件。,穿一般作业工作服。戴一般作业防护手套。,,,避免高浓度吸入。,迅速撤离泄漏污染区人员至上风处，并进行隔离，严格限制出入。切断火源，建议应急处理人员戴自给正压式呼吸器，穿一般作业工作服。避免与可燃物或易燃物接触。尽可能切断泄漏源。合理通风，加速扩散。漏气容器要妥善处理，修复、检验后再用。,5，11,1072,Ⅲ,钢质气瓶,不燃性压缩气体。储存于阴凉、通风仓间内。仓内温度不宜超过30℃。远离火源、热源。防止阳光直射。应与易燃气体、金属粉末分开存放。验收时要注意品名，注意验瓶日期，先进仓的先发用。搬运时轻装轻卸，防止钢瓶及附件破损。,,
二氧化碳、碳酸酐,carbon  dioxide,CO2,44.01,124-38-9,22019,无色无臭气体,溶于水、烃类等多数有机溶剂,－56.6,-78.5,1.56（－79℃）,31,7.39,1.53,无意义,,1013.25（－39℃）,不燃,,无意义,不聚合,,,稳定,,,,若遇高热，容器内压增大，有开裂和爆炸的危险,本品不燃。切断气源。喷水冷却容器，可能的话将容器从火场移至空旷处,,,,吸入,在低浓度时，对呼吸中枢呈兴奋作用，高浓度时则产生抑制甚至麻痹作用。中毒机制中还兼有缺氧的因素。 急性中毒：人进入高浓度二氧化碳环境，在几秒钟内迅速昏迷倒下，反射消失、瞳孔扩大或缩小、大小便失禁、呕吐等，更严重者出现呼吸停止及休克，甚至死亡。固态（干冰）和液态二氧化碳在常压下迅速汽化，能造成－80～－43℃低温，引起皮肤和眼睛严重的冻伤。 慢性影响：经常接触较高浓度的二氧化碳者，可有头晕、头痛、失眠、易兴奋、无力等神经功能紊乱等主诉。但在生产中是否存在慢性中毒国内外均未见病例报道。,若有冻伤，就医治疗。,若有冻伤，就医治疗。,迅速脱离现场至空气新鲜处。保持呼吸道通畅。如呼吸困难，给输氧。如呼吸停止，立即进行人工呼吸。就医。,,密闭操作，提供良好的自然通风条件。,一般不需要特殊防护，高浓度接触时可佩戴空气呼吸器。,穿一般作业工作服。,戴一般作业防护手套。,避免高浓度吸入。进入罐、限制性空间或其它高浓度区作业，须有人监护。,迅速撤离泄漏污染区人员至上风处，并进行隔离，严格限制出入。建议应急处理人员戴自给正压式呼吸器，穿一般作业工作服。尽可能切断泄漏源。合理通风，加速扩散。漏气容器要妥善处理，修复、检验后再用。,5,1013,Ⅲ,钢质气瓶,不燃性压缩气体。储存于阴凉、通风仓间内。仓内温度不宜超过30℃。远离火种、热源。防止阳光直射。应与易燃或可燃物分开存放。验收时要注意品名，注意验瓶日期，先进仓的先发用。搬运时轻装轻卸，防止钢瓶及附件破损。,,
氢；氢气,hydrogen,H2,2.01,133－74－0,21001,无色无臭气体,不溶于水，不溶于乙醇、乙醚,－259.2,－252.8,0.07（－252℃）,－240,1.30,0.07,241.0,0.019,13.33（－257.9℃）,易燃,水,无意义,不聚合,4.1,74.1,稳定,0.720,400,强氧化剂、卤素,与空气混合能形成爆炸性混合物，遇热或明火即会发生爆炸。气体比空气轻，在室内使用和储存时，漏气上升滞留屋顶不易排出，遇火星会引起爆炸。氢气与氟、氯、溴等卤素会剧烈反应。,切断气源。若不能立即切断气源，则不允许熄灭正在燃烧的气体。喷水冷却容器，可能的话将容器从火场移至空旷处。灭火剂：雾状水、泡沫、二氧化碳、干粉。,,中国MAC（mg/m3）未制定标准    前苏联 MAC（mg/m3）未制定标准    美国TVL－TWA  ACGIH 窒息性气体   美国TLV－STEL  未制定标准,,吸入,本品在生理学上是惰性气体，仅在高浓度时，由于空气中氧分压降低才引起窒息。在很高的分压下，氢气可呈现出麻痹作用。,,,迅速脱离现场至空气新鲜处，保持呼吸道通畅。如呼吸困难，给输氧。如呼吸停止，立即进行人工呼吸。就医。,,密闭系统，通风，防爆电器与照明。,一般不需要特殊防护，高浓度接触时可佩戴空气呼吸器。穿防静电工作服。戴一般作业防护手套。,,戴一般作业防护手套。,工作现场严禁吸烟。避免高浓度吸入。进入罐、限制性空间或其它高浓度区作业，须有人监护。,迅速撤离泄漏污染区人员至上风处，并进行隔离，严格限制出入。切断火源。建议应急处理人员戴自给正压式呼吸器，穿消防防护服。尽可能切断泄漏源。合理通风，加速扩散。如有可能，将漏出气用排风机送至空旷地方或装设适当喷头烧掉。漏气容器要妥善处理，修复、检验后再用。,4,1049,Ⅱ,钢质气瓶,易燃压缩气体。储存于阴凉、通风仓间内。仓内温度不宜超过30℃。远离火种、热源。防止阳光直射。应与氧气、压缩空气、卤素（氟、氯、溴）、氧化剂等分开存放。切忌混储混运。储存间内的照明、通风等设施应采用防爆型，开关设在仓外。配备相应品种和数量的消防器材。禁止使用易产生火花的机械设备和工具。验收时要注意品名，注意验瓶日期，先进仓的先发用。搬运时轻装轻卸，防止钢瓶及附件破损。,,
氩,argon,Ar,39.95,7440－37－1,22011,无色无臭的惰性气体,微溶于水,－189.2,－185.7,1.40（－186℃）,－122.3,4.86,1.38,无意义,,202.64（－179℃）,不燃,,无意义,不聚合,,,稳定,,,,若遇高热，容器内压增大，有开裂和爆炸的危险。,本品不燃。切断气源。喷水冷却容器，可能的话将容器从火场移至空旷处。,,中国MAC（mg/m3）未制定标准    前苏联 MAC（mg/m3）未制定标准    美国TVL－TWA  ACGIH 窒息性气体   美国TLV－STEL  未制定标准,,吸入。,普通大气压下无毒。高浓度时，使氧分压降低而发生窒息。氩浓度达50％以上，引起严重症状；75％以上时，可在数分钟内死亡。当空气中浓度增高时，先出现呼吸加速，注意力不集中，共济失调。继而，疲倦乏力、烦躁不安、恶心、呕吐、昏迷、抽搐，以至死亡。液态氩可致皮肤冻伤；眼部接触可引起炎症。,若有冻伤，就医治疗。,提起眼睑，用流动清水或生理盐水冲洗，就医。,迅速脱离现场至空气新鲜处，保持呼吸道通畅。如呼吸困难，给输氧。如呼吸停止，立即进行人工呼吸。就医。,,密闭操作，提供良好的自然通风条件。,一般不需要特殊防护，但当作业场所空气中氧气浓度低于18％时，必须佩戴空气呼吸器、氧气呼吸器或长管面具。穿一般作业工作服。戴一般作业防护手套。,,戴一般作业防护手套。,避免高浓度吸入，进入罐、限制性空间或其它高浓度区作业，须有人监护。,迅速撤离泄漏污染区人员至上风处，并进行隔离，严格限制出入。建议应急处理人员戴自给正压式呼吸器，穿一般作业工作服。尽可能切断泄漏源。合理通风，加速扩散。如有可能，即时使用。漏气容器要妥善处理，修复、检验后再用。,5,1006,Ⅲ,钢质气瓶,不燃性压缩气体。储存于阴凉、通风仓间内。仓内温度不宜超过30℃。远离火种、热源。防止阳光直射。应与易燃或可燃物分开存放。验收时要注意品名，注意验瓶日期，先进仓的先发用。搬运时轻装轻卸，防止钢瓶及附件破损。,,
甲烷、沼气,methane Marsh gas,CH4,16.04,74－82－8,21007,无色无臭气体。,微溶于水，溶于醇、乙醚。,－182.5,－161.5,0.42（－164℃）,－82.6,4.59,0.55,889.5,0.28,53.32（－168.8℃）,易燃,一氧化碳、二氧化碳,－188,不聚合,5.3,15,稳定,0.717,538,强氧化剂、氟、氯,易燃，与空气混合能形成爆炸性混合物，遇热源和明火有燃烧爆炸的危险。与五氧化溴、氯气、次氯酸、三氟化氮、液氧、二氟化氧及其它强氧化剂接触剧烈反应。,切断气源。若不能立即切断气源，则不允许熄灭正在燃烧的气体。喷水冷却容器，可能的话将容器从火场移至空旷处。灭火剂：雾状水、泡沫、二氧化碳、干粉。,,中国MAC（mg/m3） 未制定标准    前苏联 MAC（mg/m3） 300   美国TVL－TWA  ACGIH 窒息性气体   美国TLV－STEL  未制定标准,,吸入。,甲烷对人基本无毒，但浓度过高时，使空气中氧含量明显降低，使人窒息。当空气中甲烷达25％～30％时，可引起头痛、头晕、乏力、注意力不集中、呼吸和心跳加速、共济失调。若不及时脱离，可致窒息死亡。皮肤接触液化本品，可致冻伤。,皮肤接触液化本品，可致冻伤。,,迅速脱离现场至空气新鲜处，保持呼吸道通畅。如呼吸困难，给输氧。如呼吸停止，立即进行人工呼吸。就医。,,生产过程密闭，全面通风。,,,,一般不需要特殊防护，但建议特殊情况下，佩戴自吸过滤式防毒面具（半面罩）。眼睛防护一般不需要特殊防护，高浓度接触时可戴安全防护眼镜，穿防静电工作服。戴一般作业防护手套。工作现场严禁吸烟。避免长期反复接触，进入罐、限制性空间或其它高浓度区作业，须有人监护。,迅速撤离泄漏污染区人员至上风处，并进行隔离，严格限制出入。切断火源。建议应急处理人员戴自给正压式呼吸器，穿消防防护服。尽可能切断泄漏源。合理通风，加速扩散。喷雾状水稀释、溶解。构筑围堤或挖坑收容产生的大量废水。如有可能，将漏出气用排风机送至空旷地方或装设适当喷头烧掉。也可以将漏气的容器移至空旷处，注意通风。漏气容器要妥善处理，修复、检验后再用。,4,1971,Ⅱ,钢质气瓶,易燃压缩气体。储存于阴凉、通风仓间内。仓温不宜超过30℃。远离火种、热源。防止阳光直射。应与氧气、压缩空气、卤素（氟、氯、溴）等分开存放。切忌混储混运。储存间的照明、通风等设施应采用防爆型，开关设在仓外。配备相应品种和数量的消防器材。罐储时要有防火防爆技术措施。露天贮罐夏季要有降温措施。禁止使用易产生火花的机械设备和工具。验收时要注意品名，注意验瓶日期，先进仓的先发用。搬运时轻装轻卸，防止钢瓶及附件破损。,,
四氢噻吩,tetrahydrothiophene,C4H8S,88.17,110－01－0,32111,无色液体。,不溶于水，可混溶于乙醇、乙醚、苯、丙酮。,－96.2,119,1.00,,,无资料,无资料,无资料,无资料,易燃,一氧化碳、二氧化碳、硫化氢、氧化硫。,12.8,不聚合,无资料,无资料,稳定,无资料,无资料,强氧化剂,遇高热、明火及强氧化剂易引起燃烧。,喷水冷却容器，可能的话将容器从火场移至空旷处。泡沫、二氧化碳、干粉、砂土。,,中国MAC（mg/m3） 未制定标准    前苏联 MAC（mg/m3） 未制定标准    美国TVL－TWA  未制定标准   美国TLV－STEL  未制定标准,急性毒性  LD50   27000mg/m3，2小时（小鼠吸入）,吸入、食入、经皮吸收。,本品具有麻醉作用。小鼠吸入中毒时，出现运动性兴奋、共济失调、麻醉，最后死亡。,脱出被污染的衣着，用肥皂水和清水彻底冲洗皮肤。,提起眼睑，用流动清水或生理盐水冲洗。就医。,迅速脱离现场至空气新鲜处，保持呼吸道通畅。如呼吸困难，给输氧。如呼吸停止，立即进行人工呼吸。就医。,饮足量温水，催吐，就医。,密闭操作，局部排风。提供安全淋浴和洗眼设备。,,,,空气中浓度较高时，建议佩戴自吸过滤式防毒面具（半面罩）。眼睛防护要戴安全防护眼镜；穿防毒物渗透工作服；戴乳胶手套。工作现场严禁吸烟。工作毕，淋浴更衣。注意个人清洁卫生。,迅速撤离泄漏污染区人员至安全区，并进行隔离，严格限制出入。切断火源。建议应急处理人员戴自给正压式呼吸器，穿消防防护服。尽可能切断泄漏源。防止进入下水道、排洪沟等限制性空间。小量泄漏：用活性炭或其它惰性材料吸收。也可以用不燃性分散剂制成的乳液刷洗，洗液稀释后放入废水系统。大量泄漏：构筑围堤或挖坑收容；用泡沫覆盖，降低蒸气灾害。用防爆泵转移至槽车或专用收集器内，回收或运至废物处理场所处置。,7,2412,Ⅱ,小开口钢桶；螺纹口玻璃瓶、铁盖压口玻璃瓶、塑料瓶或金属桶（罐）外木板箱。,储存于阴凉、通风仓内。远离火种、热源。仓内温度不宜超过30℃。防止阳光直射。包装要求密封，不可与空气接触。应与氧化剂分开存放。储存间内的照明、通风等设施应采用防爆型，开关设在仓外。配备相应品种和数量的消防器材。罐储时要有防火防爆技术措施。禁止使用易产生火花的机械设备和工具。灌装时应注意流速（不超过3m/s），且有接地装置，防止静电积聚。搬运时要轻装轻卸，防止包装及容器损坏。,,
三乙胺；N，N-二乙基乙胺,triethylamine；N，N-diethylethanamine,C6H15N,101.19,121－44－8,32168,无色油状液体，有强烈氨臭。,微溶于水，溶于乙醇、乙醚等多数有机溶剂。,－114.8,89.5,0.70,259,3.04,3.48,4333.8,0.75,8.80（20℃）,易燃,一氧化碳、二氧化碳、氧化氮。,＜0,不聚合,1.2,8.0,稳定,无资料,249,强氧化剂、酸类,易燃，其蒸气与空气可形成爆炸性混合物。遇明火、高热能引起燃烧爆炸。与氧化剂能发生强烈反应。其蒸气比空气重，能在较低处扩散到相当远的地方，遇明火会引着回燃。具有腐蚀性。,喷水冷却容器，可能的话将容器从火场移至空旷处。灭火剂：抗溶性泡沫、二氧化碳、干粉、砂土。用水灭火无效。,,中国MAC（mg/m3）； 未制定标准    前苏联 MAC（mg/m3） 10    美国TVL－TWA  OSHA  25ppm； ACGIH  1ppm，4.1mg/m3 〔皮〕  美国TLV－STEL  ACGIH 3ppm，12.4mg/m3〔皮】,急性毒性  LD50   460mg/kg（大鼠经口）；570mg/kg （兔经皮） LC50   6000mg/m3 ，2小时（小鼠吸入）,吸入、食入、经皮吸收。,对呼吸道有强烈的刺激性，吸入后可引起肺水肿甚至死亡。口服腐蚀口腔、食道及胃。眼及皮肤接触可引起化学性灼伤。,立即脱出被污染的衣着，用大量流动清水冲洗，至少15分钟。就医。,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗至少15分钟。就医。,迅速脱离现场至空气新鲜处，保持呼吸道通畅。如呼吸困难，给输氧。如呼吸停止，立即进行人工呼吸。就医。,误服者用水漱口，给饮牛奶或蛋清。就医。,生产过程密闭，加强通风。提供安全淋浴和洗眼设备。,,,,可能接触其蒸气时，佩戴导管式防毒面具。紧急事态抢救或撤离时，应该佩戴氧气呼吸器、空气呼吸器。穿防毒物渗透工作服；戴橡胶手套。工作现场严禁吸烟、进食和饮水。工作毕，淋浴更衣。实行就业前和定期体检。,迅速撤离泄漏污染区人员至安全区，并进行隔离，严格限制出入。切断火源。建议应急处理人员戴自给正压式呼吸器，穿消防防护服。从上风处进入现场。尽可能切断泄漏源。防止进入下水道、排洪沟等限制性空间。小量泄漏：用砂土或其它不燃材料吸附或吸收。也可以用大量水冲洗，洗水稀释后放入废水系统。大量泄漏：构筑围堤或挖坑收容；用泡沫覆盖，降低蒸气灾害。喷雾状水冷却和稀释蒸气、保护现场人员、把泄漏物稀释成不燃物。用防爆泵转移至槽车或专用收集器内，回收或运至废物处理场所处置。,7,1296,Ⅱ,小开口钢桶；螺纹口玻璃瓶、铁盖压口玻璃瓶、塑料瓶或金属桶（罐）外木板箱。,储存于阴凉、通风仓间内。远离火种、热源。仓内温度不宜超过30℃。防止阳光直射。包装要求密封，不可与空气接触。应与氧化剂、酸类、碱类分开存放。储存间内的照明、通风等设施应采用防爆型，开关设在仓外。配备相应品种和数量的消防器材。严禁使用易产生火花的机械设备和工具。定期检查是否有泄漏现象。充装要控制流速，注意防止静电积聚。搬运时要轻装轻卸，防止包装及容器损坏。运输按规定路线行驶，勿在居民区和人口稠密区停留。,,
硫代磷酰氯；三氯化硫磷,thiophosphoryl chloride,PSCI3,169.42,3982－91－0,81064,无色或浅黄色油状液体，有刺激性气味。,溶于二硫化碳、四氯化碳。,－35,125,1.63,,,5.86,无意义,无意义,2.93（25℃）,不燃,氯化氢、氧化磷、磷烷。,无意义,不聚合,无意义,无意义,稳定,无意义,无意义,强氧化剂、水、醇类、碱类。,与乙醇、甲醇激烈反应。受热或遇水分解放热，放出有毒的腐蚀性烟气。具有强烈的腐蚀性。,消防人员必须佩戴氧气呼吸器、穿全身防护服。灭火剂：二氧化碳、砂土。禁止用水。,,中国MAC（mg/m3） 未制定标准    前苏联 MAC（mg/m3） 未制定标准    美国TVL－TWA  未制定标准   美国TLV－STEL  未制定标准,急性毒性  LD50   750mg/kg，（大鼠经口）  LC50   138mg/m3，4小时（小鼠吸入）,吸入、食入、经皮吸收。,对眼睛、皮肤、粘膜和呼吸道有强烈的刺激作用。吸入、口服或经皮服吸收对身体有害。吸入后可能由于喉、支气管的痉挛、水肿、炎症，化学性肺炎、肺水肿而致死。中毒表现有烧灼感、咳嗽、喘息、喉炎、气短、头痛、恶心和呕吐。,立即脱出被污染的衣着，用大量流动清水冲洗，至少15分钟。就医。,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗至少15分钟。就医。,迅速脱离现场至空气新鲜处，保持呼吸道通畅。如呼吸困难，给输氧。如呼吸停止，立即进行人工呼吸。就医。,误服者用水漱口，给饮牛奶或蛋清。就医。,密闭操作，注意通风。尽可能机械化、自动化。提供安全淋浴和洗眼设备。,,,,可能接触其蒸气时，必须佩戴导管式防毒面具或自吸式长管面具。紧急事态抢救或撤离时，建议佩戴空气呼吸器；穿橡胶耐酸碱服；戴橡胶耐酸碱手套。工作现场严禁吸烟、进食和饮水。工作毕，淋浴更衣。单独存放被毒物污染的衣服，洗后备用。保持良好的卫生习惯。,迅速撤离泄漏污染区人员至安全区，并进行隔离，严格限制出入。切断火源。建议应急处理人员戴自给正压式呼吸器，穿防酸碱工作服。不要直接接触泄漏物。尽可能切断泄漏源。防止进入下水道、排洪沟等限制性空间。小量泄漏：用砂土或其它不燃材料吸附或吸收。也可以用不燃性分散剂制成的乳液刷洗，洗液稀释后放入废水系统。大量泄漏：构筑围堤或挖坑收容；用泵转移至槽车或专用收集器内，回收或运至废物处理场所处置。,20,1837,Ⅰ,小开口钢桶；螺纹口玻璃瓶、铁盖压口玻璃瓶、塑料瓶或金属桶（罐）外木板箱。,储存于干燥清洁的仓间内。远离火种、热源。包装要求密封，切勿受潮。应与氧化剂、碱类、食用化学品分开存放。不可混储混运。分装和搬运作业要注意个人防护。搬运要轻装轻卸，防止包装及容器损坏。运输按规定的路线行驶，中途不得停留。雨天不宜运输。,,
硝酸,nitric acid,HNO3,63.01,7697－37－2,81002,无色透明发烟液体，有酸味。,与水混溶。,－42（无水）,86（无水）,1.50（无水）,,,2.17,无意义,,4.4（20℃）,不燃,氧化氮,无意义,不聚合,无意义,无意义,稳定,无意义,无意义,还原剂、碱类、醇类、碱金属、铜、胺类。,强氧化剂。能与多种物质如金属粉末、电石、硫化氢、松节油等猛烈反应，甚至发生爆炸。与还原剂、可燃物如糖、纤维素、木屑、棉花、稻草或废纱头接触，引起燃烧并散发出剧毒的棕色烟雾。具有强腐蚀性。,消防人员必须穿全身耐酸碱消防服。灭火剂：雾状水、二氧化碳、砂土。,,,,吸入、食入。,其蒸汽有刺激作用，引起眼和上呼吸道刺激症状，如流泪、咽喉刺激感，并伴有头痛、头晕、胸闷等。口服引起腹部剧痛，严重者可有胃穿孔、腹膜炎、喉痉挛、肾损害、休克以及窒息。皮肤接触引起灼伤。慢性影响：长期接触可引起牙齿酸蚀症。,立即脱出被污染的衣着。用大量流动清水冲洗，至少15分钟。就医。,立即提起眼睑，用大量流动清水或生理盐水彻底冲洗至少15分钟。就医。,迅速脱离现场至空气新鲜处，保持呼吸道通畅。如呼吸困难，给输氧。如呼吸停止，立即进行人工呼吸。就医。,误服者用水漱口，给饮牛奶或蛋清。就医。,密闭操作，注意通风。尽可能机械化、自动化。提供安全淋浴和洗眼设备。,可能接触其烟雾时，佩戴自吸过滤式防毒面具（全面罩）或空气呼吸器。紧急事态抢救或撤离时，建议佩戴氧气呼吸器；,穿橡胶耐酸碱服；,戴橡胶耐酸碱手套。,工作现场严禁吸烟、进食和饮水。工作毕，淋浴更衣。单独存放被毒物污染的衣服，洗后备用。保持良好的卫生习惯。,迅速撤离泄漏污染区人员至安全区，并进行隔离，严格限制出入。建议应急处理人员戴自给正压式呼吸器，穿防酸碱工作服。不要直接接触泄漏物。从上风处进入现场。尽可能切断泄漏源。防止进入下水道、排洪沟等限制性空间。小量泄漏：将地面撒上苏打灰，然后用大量水冲洗，洗水稀释后放入废水系统。大量泄漏：构筑围堤或挖坑收容；喷雾状水冷却和稀释蒸汽、保护现场人员、把泄漏物稀释成不燃物。用泵转移至槽车或专用收集器内。回收或运至废物处理场所处置。,20,2031,Ⅰ,螺纹口玻璃瓶、铁盖压口玻璃瓶、塑料瓶或金属桶（罐）外木板箱；耐酸坛、陶瓷罐外木板箱或半花格箱。,储存于阴凉、干燥，通风良好的仓间。应与易燃或可燃物、碱类、金属粉末等分开存放。不可混储混运。搬运要轻装轻卸，防止包装及容器损坏。分装和搬运作业要注意个人防护。运输按规定路线行驶。勿在居民区和人口稠密区停留。,,
